age,annual_income,employment_years,monthly_expenses,savings_balance,credit_score,active_loans,delayed_payments,total_debt,loan_amount,loan_purpose,residence_type,dependents,debt_to_income,loan_to_income,expense_to_income,savings_to_loan_ratio,target_risk_class
19,187497,1,12155,4326,348,3,0,95091,483865,Auto,Mortgaged,3,0.5071574096790366,2.5806408601691753,0.7779282979018443,0.008940491789049035,Fraud Suspected
53,93769,32,2234,37345,453,2,0,94162,154648,Business,Rented,4,1.004180441505812,1.6492268316092566,0.2858910099178842,0.24148232448965076,Fraud Suspected
58,53024,38,2454,13304,561,1,0,47762,6282,Auto,Mortgaged,1,0.9007449316360208,0.11847241867043848,0.5553606789250354,2.1174598121916284,High Risk
27,109422,9,2854,3160,775,0,1,0,104277,Business,Rented,0,0.0,0.9529714959377827,0.3129872147537538,0.03030361150002877,Medium Risk
58,31063,40,922,4545,807,2,0,44652,308905,Business,Mortgaged,3,1.437419520988926,9.944147566314705,0.35616791140870463,0.014713213728448136,High Risk
36,102332,15,3975,32396,799,2,2,55960,83082,Debt Consolidation,Mortgaged,2,0.5468421721243392,0.8118788660549383,0.4661252968250711,0.3899233296823658,Medium Risk
22,101136,2,6532,18799,580,3,0,63870,294554,Home,Owned,0,0.6315196218990082,2.912425719568506,0.7750279324085152,0.06382169713635824,High Risk
23,62171,1,2340,223,744,2,2,93496,82849,Auto,Mortgaged,4,1.5038280898153509,1.3325773660168565,0.451650260567458,0.0026916113458056727,Fraud Suspected
70,72504,40,1919,717,485,5,0,278915,366541,Auto,Mortgaged,0,3.846838149093166,5.05538928349769,0.3176056823667333,0.0019561196261274286,Fraud Suspected
19,59912,0,3987,13118,306,4,1,167528,36540,Home,Rented,1,2.796187805651528,0.6098843322818086,0.7985579089680036,0.35899400673216386,Fraud Suspected
41,77277,23,3161,990,788,1,0,7055,62759,Business,Mortgaged,3,0.09129377054271591,0.812119878878853,0.4908512125054996,0.01577437858508604,Low Risk
53,177715,31,9786,2245,388,2,0,13396,309960,Auto,Rented,1,0.07537869409619843,1.7441310855522294,0.660784622656373,0.0072428466807114445,High Risk
73,55336,40,1089,11098,338,1,1,11504,59710,Home,Mortgaged,0,0.20788983862515134,1.079024883893236,0.2361530260043009,0.18586190149218737,High Risk
67,91911,40,3005,43919,665,3,1,100677,160875,Debt Consolidation,Owned,3,1.0953629558708329,1.7503155191922708,0.39233179563060316,0.2729990800367985,High Risk
19,96227,0,2989,11552,717,2,1,105870,99409,Auto,Rented,1,1.100199526125452,1.0330569065136965,0.3727397431101135,0.11620561311739262,High Risk
66,48711,40,1967,2614,402,2,0,51982,433923,Auto,Rented,4,1.0671292494662505,8.907928231236657,0.48456232550500905,0.006024096385542169,Fraud Suspected
